PROVID;CULTURE;Religion;TRADEGOOD;unused;indentured;lower_strata;middle_strata;proletariat;slaves;tribesmen;upper_strata;INDUSTRIALISATION;PROVINCE_RANK;NAME;AREA;TERRAIN;;;LITERACY;Extra pop type;Extra pop culture;Extra pop religion;Extra pop size;Extra pop type 2;Extra pop culture 2;Extra pop religion 2;Extra pop size 2;Extra pop type 3;Extra pop culture 3;Extra pop religion 3;Extra pop size 3;Extra pop type 4;Extra pop culture 4;Extra pop religion 4;Extra pop size 4;Extra pop type 5;Extra pop culture 5;Extra pop religion 5;Extra pop size 5;Extra pop type 6;Extra pop culture 6;Extra pop religion 6;Extra pop size 6;Extra pop type 7;Extra pop culture 7;Extra pop religion 7;Extra pop size 7
3184;manchu;mahayana;cloth;0;0;1;0;0;0;0;0;0;0;PROV3184;Antung;plains;patched_state;Antung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3185;russian;orthodox;grain;0;0;1;0;0;0;0;0;7;0;Ozyora;Novgorod;forest;patched_state;Novgorod;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3186;russian;orthodox;cloth;0;0;3;1;0;0;0;0;7;0;Nevinnomissk;Stavropol;semi_arid;patched_state;Stavropol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3187;flemish;catholic;cloth;0;0;14;10;12;0;0;4;20;0;Kortryk;Flanders;;patched_state;Flanders;;middle_strata;walloon;catholic;1;lower_strata;walloon;catholic;3;;;;;;;;;;;;;;;;;;;;
3188;english;lutheran;sugar;0;0;0;0;0;0;0;1;7;0;Virgin Islands;Virgin Islands;plains;patched_state;Virgin Islands;;slaves;afro_caribbean;lutheran;5;lower_strata;mulatto;lutheran;1;;;;;;;;;;;;;;;;;;;;
3189;ukrainian;orthodox;cloth;0;0;4;0;0;0;0;0;10;0;Yelan;Voiska_Donskova;plains;patched_state;Voiska_Donskova;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3190;russian;orthodox;wood;0;0;2;0;0;0;0;0;7;0;Gorojovets;Vladimir;forest;patched_state;Vladimir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3191;basque;catholic;fish;0;0;14;1;4;0;0;0;27;1;Bilbao;Vascongadas;;patched_state;Vascongadas;32;upper_strata;castilian;catholic;2;middle_strata;castilian;catholic;3;proletariat;castilian;catholic;3;;;;;;;;;;;;;;;;
3192;ahtna;waashat;wood;0;0;0;0;0;0;1;0;0;0;Williams Lake;British_Columbia;forest;patched_state;British_Columbia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3193;shangjiang;daoism;grain;0;0;209;10;0;0;0;5;10;0;Xiaogan;Hubei;farmland;patched_state;Hubei;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3194;manchu;mahayana;cloth;0;0;10;0;0;0;0;0;0;0;PROV3194;Antung;plains;patched_state;Antung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3195;yankee;evangelical;wood;0;0;4;1;0;0;0;0;15;0;Cincinnati;Ohio;forest;patched_state;Ohio;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3196;turkish;sunni;vegetables;0;0;7;0;0;0;0;1;10;0;Ezinepazari;Sivas;;patched_state;Sivas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3197;laotian;linh;cloth;0;0;10;0;0;0;0;0;0;0;Sangkhon;Laos;;patched_state;Laos;;slaves;khmer;linh;2;tribesmen;khmer;linh;2;;;;;;;;;;;;;;;;;;;;
3198;beihua;mahayana;cloth;0;0;37;8;5;0;0;2;10;0;Dalian;Dalian;hills;patched_state;Dalian;;lower_strata;hui;sunni;7;lower_strata;korean;mahayana;3;;;;;;;;;;;;;;;;;;;;
3199;ukrainian;orthodox;cloth;0;0;5;0;0;0;0;0;10;0;Zavyakza;Voiska_Donskova;plains;patched_state;Voiska_Donskova;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3200;armenian;orthodox;cloth;0;0;4;0;0;0;0;0;15;0;Gjumri;Kars;hills;patched_state;Kars;;tribesmen;kurdish;sunni;2;;;;;;;;;;;;;;;;;;;;;;;;
3201;karen;theravada;cloth;0;0;0;0;0;0;2;0;0;0;Mae Sot;Tenasserim;;patched_state;Tenasserim;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3202;ute;waashat;cloth;0;0;0;0;0;0;0;0;0;0;Provo;Utah;low_mountain;patched_state;Utah;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3203;dixie;anglican;grain;0;0;3;2;0;0;0;0;15;0;Elizabeth City;North Carolina;plains;patched_state;North Carolina;;slaves;afroamerican;evangelical;4;;;;;;;;;;;;;;;;;;;;;;;;
3204;central_american;catholic;tropical_fruit;0;0;4;0;0;0;0;0;5;0;Colón;Panama;sparse_jungle;patched_state;Panama;;slaves;zambo;catholic;2;;;;;;;;;;;;;;;;;;;;;;;;
3205;mikasuki;waashat;grain;0;0;0;0;0;0;0;0;0;0;Tampa;Florida;forest;patched_state;Florida;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3206;tamazight;sunni;camel ;0;0;0;0;0;0;3;0;3;0;Guelmim;Tafilalt;;patched_state;Tafilalt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3207;shangjiang;mahayana;cloth;0;0;125;0;0;0;0;0;10;0;Heishui;Sichuan;hills;patched_state;Sichuan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3208;wu;daoism;grain;0;0;200;20;0;0;0;5;10;0;Yangzhou;Jiangsu;farmland;patched_state;Jiangsu;;lower_strata;wu;confucianism;140;;;;;;;;;;;;;;;;;;;;;;;;
3209;russian;orthodox;wood;0;0;5;0;0;0;0;0;7;0;Sverdlovsk;Sverdlovsk;forest;patched_state;Sverdlovsk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3210;yankee;reformed;cloth;0;0;1;0;0;0;0;0;15;0;Indianapolis;Indiana;forest;patched_state;Indiana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3211;turkish;sunni;vegetables;0;0;4;0;0;0;0;1;10;0;Danişmentliler;Sivas;;patched_state;Sivas;;slaves;nubian;sunni;1;slaves;circassian;shiite;1;;;;;;;;;;;;;;;;;;;;
3212;khams;mahayana;tea;0;0;39;0;0;0;0;0;0;0;Litang;Sichuan;low_mountain;patched_state;Sichuan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3213;cree;waashat;wood;0;0;0;0;0;0;1;0;0;0;Le Pas;Manitoba;boreal_forest;patched_state;Manitoba;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3214;illinois;waashat;cloth;0;0;0;0;0;0;0;0;0;0;PROV3214;Illinois;forest;patched_state;Illinois;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3215;baoule;akan;cloth;0;0;1;0;0;1;19;0;0;0;Ferkessédougou;Ivory Coast;;patched_state;Ivory Coast;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3216;comanche;catholic;livestock;0;0;0;0;0;0;0;0;0;0;Cisco;Texas;semi_arid;patched_state;Texas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3217;bihari;hindu;livestock;0;0;17;2;1;0;6;0;8;0;Biratnagar;Nepal;hills;patched_state;Nepal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3218;cheyenne;waashat;cloth;0;0;0;0;0;0;0;0;0;0;Beulah;Wyoming;hills;patched_state;Wyoming;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3219;khmer;theravada;cloth;0;0;10;0;0;0;0;0;0;0;Lumphat;Cambodia;;patched_state;Cambodia;;lower_strata;chamic;sunni;2;;;;;;;;;;;;;;;;;;;;;;;;
3220;maori;rangi;mediterranean_fruit;0;0;0;0;0;0;1;0;0;0;Christchurch;Te_Waipounamu;;patched_state;Te_Waipounamu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3221;norteno;catholic;livestock;0;0;1;0;0;0;0;0;0;0;Goliad;Texas;plains;patched_state;Texas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3222;shangjiang;daoism;grain;0;0;264;0;0;0;0;0;10;0;Deyang;Chongqing;hills;patched_state;Chongqing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3223;maori;rangi;wool;0;0;0;0;0;0;1;0;0;0;Haast;Te_Waipounamu;low_mountain;patched_state;Te_Waipounamu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3224;khams;mahayana;livestock;0;0;15;0;0;0;0;0;0;0;Qambo;Tibet;low_mountain;patched_state;Tibet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3225;fulani;serer;cloth;0;0;0;0;0;0;0;0;0;0;Bolama;Guinea-Bissau;semi_arid;patched_state;Guinea-Bissau;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3226;shoshone;waashat;cloth;0;0;0;0;0;0;0;0;0;0;Shoshone;Wyoming;forest;patched_state;Wyoming;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3227;lowland_scots;reformed;lead;0;0;4;0;0;0;0;0;10;0;Kirkcudbright;Lowlands;;patched_state;Lowlands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3228;sami;lutheran;wood;0;0;0;0;0;0;0;0;0;0;PROV3228;state_461;;patched_state;state_461;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3229;russian;orthodox;cloth;0;2;12;2;0;0;0;0;7;0;Bryansk;Oriol;forest;patched_state;Oriol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3230;norwegian;lutheran;livestock;0;0;4;0;0;0;0;0;10;0;Hønefoss;Aggerhuus;;patched_state;Aggerhuus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3231;roman;roman_pantheon;cloth;0;0;0;0;0;0;0;0;0;0;Storavan;spare_state;coastal_terrain;patched_state;spare_state;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3232;polish;catholic;grain;0;0;7;1;1;0;0;1;10;0;Zamość;Lubelskie;forest;patched_state;Lubelskie;;middle_strata;ashkenazi;jewish;1;lower_strata;ukrainian;orthodox;8;;;;;;;;;;;;;;;;;;;;
3233;turkana;kenyan;cloth;0;0;2;0;0;7;15;0;0;0;PROV3233;Kenya;;patched_state;Kenya;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3234;circassian;sunni;horses;0;0;8;1;0;0;5;1;0;0;Tscherkessk;Kuban;plains;patched_state;Kuban;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3235;north_german;lutheran;cloth;0;0;12;6;6;0;0;0;20;0;Hersfeld;Hessen;;patched_state;Hessen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3236;lowland_scots;reformed;livestock;0;0;4;0;0;0;0;0;10;0;Wictown;Lowlands;;patched_state;Lowlands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3237;castilian;catholic;grain;0;0;7;1;1;0;0;0;10;0;Sahagun;León;;patched_state;León;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3238;latgalian;orthodox;cloth;0;0;3;0;0;0;0;0;7;0;Gavry;Vitebsk;forest;patched_state;Vitebsk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3239;norwegian;lutheran;wood;0;0;0;0;0;0;0;0;10;0;PROV3239;Nordland;;patched_state;Nordland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3240;russian;orthodox;cloth;0;0;6;0;0;0;0;0;7;0;Baklan;Oriol;forest;patched_state;Oriol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3241;portuguese;catholic;dye;0;0;22;2;0;0;0;1;10;0;Braga;Oporto;;patched_state;Oporto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3242;south_german;catholic;cloth;0;0;20;11;7;0;0;5;20;1;Ulm;Wurttemberg;;patched_state;Wurttemberg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3243;wu;daoism;grain;0;0;258;8;12;0;0;3;10;0;Yueqing;Zhejian;hills;patched_state;Zhejian;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3244;polish;catholic;cloth;0;0;5;2;2;0;0;1;10;0;Allenstein;Preussen;;patched_state;Preussen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3245;beihua;daoism;grain;0;0;258;0;0;0;0;0;10;0;Sanmenxia;Henan;farmland;patched_state;Henan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3246;circassian;sunni;horses;0;0;6;0;0;0;5;0;0;0;Otradnaya;Kuban;plains;patched_state;Kuban;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3247;khmer;theravada;cloth;0;0;17;1;0;0;0;0;0;0;Kron Koh Kong;Cambodia;;patched_state;Cambodia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3248;circassian;sunni;horses;0;0;6;1;0;0;2;1;0;0;Maikop;Kuban;plains;patched_state;Kuban;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3249;north_german;lutheran;cloth;0;0;10;9;6;0;0;3;20;1;Marburg;Hessen;;patched_state;Hessen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3250;beihua;daoism;vegetables;0;0;130;2;2;0;0;3;10;0;Langfang;Beijing;farmland;patched_state;Beijing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3251;castilian;catholic;tin;0;0;7;1;1;0;0;0;10;0;Benavente;León;;patched_state;León;9;lower_strata;asturian;catholic;1;;;;;;;;;;;;;;;;;;;;;;;;
3252;latgalian;catholic;livestock;0;0;7;2;0;0;0;0;7;0;Rezekne;Latgalia;plains;patched_state;Latgalia;;middle_strata;russian;orthodox;2;lower_strata;russian;old_belief;2;middle_strata;ashkenazi;jewish;1;;;;;;;;;;;;;;;;
3253;thai;theravada;cloth;0;0;6;1;0;14;0;1;5;0;Prachinburi;Siam;;patched_state;Siam;;lower_strata;shangjiang;theravada;2;slaves;khmer;theravada;1;slaves;malayan;theravada;1;;;;;;;;;;;;;;;;
3254;beihua;confucianism;vegetables;0;0;60;1;1;0;0;1;10;0;Mentougou Qu;Beijing;farmland;patched_state;Beijing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3255;brazilian;catholic;whales;0;0;6;1;0;0;0;0;8;0;Porto Alegre;Rio Grande do Sul;plains;patched_state;Rio Grande do Sul;;slaves;afro_portuguese;candomble;2;slaves;kaingang;catholic;1;;;;;;;;;;;;;;;;;;;;
3256;xhosa;bantu;grain;0;0;0;0;0;0;0;0;0;0;Bretyak;Orenburg;low_mountain;patched_state;Orenburg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3257;wu;daoism;grain;0;0;98;2;2;0;0;3;10;0;Linhai;Zhejian;hills;patched_state;Zhejian;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3258;russian;orthodox;wood;0;0;2;0;0;0;0;0;7;0;Bagan;Novosibirsk;plains;patched_state;Novosibirsk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3259;tuareg;sunni;livestock;0;0;0;0;0;0;1;0;0;0;Al Wahat;Cyrenaica;extreme_desert;patched_state;Cyrenaica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3260;beihua;mahayana;cloth;0;0;5;0;0;0;0;0;10;0;PROV3260;Antung;plains;patched_state;Antung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3261;khmer;theravada;cloth;0;0;12;0;0;0;0;0;0;0;Pouthisat;Cambodia;;patched_state;Cambodia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3262;circassian;sunni;horses;0;0;1;1;0;0;1;0;0;0;Gelendzhik;Chernomor;forest;patched_state;Chernomor;;lower_strata;russian;orthodox;4;;;;;;;;;;;;;;;;;;;;;;;;
3263;tuvan;sunni;wood;0;0;0;0;0;0;0;0;0;0;Kansk;Khakassia;boreal_forest;patched_state;Khakassia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3264;iowa;waashat;cloth;0;0;0;0;0;0;0;0;0;0;Fort Dodge;Iowa;plains;patched_state;Iowa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3265;tupi;catimbo;livestock;0;0;0;0;0;0;1;0;0;0;Bom Jesus;Piauí;semi_arid;patched_state;Piauí;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3266;thai;theravada;cloth;0;0;8;0;0;8;0;0;5;0;Saraburi;Siam;;patched_state;Siam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3267;yavapai;waashat;cloth;0;0;0;0;0;0;2;0;0;0;Leupp;Arizona;desert;patched_state;Arizona;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3268;brazilian;catholic;coal;0;0;1;0;0;0;0;0;8;0;Caxias do Sul;Rio Grande do Sul;forest;patched_state;Rio Grande do Sul;;slaves;kaingang;catholic;1;;;;;;;;;;;;;;;;;;;;;;;;
3269;melanesian;mana;tropical_fruit;0;0;1;0;0;0;5;0;0;0;Aru Islands;Maluku;dense_jungle;patched_state;Maluku;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3270;russian;orthodox;wood;0;0;4;0;0;0;0;0;7;0;Sterlitamak;Orenburg;plains;patched_state;Orenburg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3271;bedouin;wahhabi;salt;0;0;0;0;0;0;6;0;0;0;Shigry;Hedjaz;desert;patched_state;Hedjaz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3272;altai;sunni;wood;0;0;0;0;0;0;0;0;0;0;Russkaya Polyana;Omsk;plains;patched_state;Omsk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3273;libyan;sunni;livestock;0;0;4;0;0;0;2;0;3;0;Agedabiya;Cyrenaica;desert;patched_state;Cyrenaica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3274;castilian;catholic;fish;0;0;2;0;0;0;0;0;10;0;Melilla;Plazas de Soberania;low_mountain;patched_state;Plazas de Soberania;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3275;tuvan;sunni;wood;0;0;0;0;0;0;0;0;0;0;Daurskoe;Khakassia;forest;patched_state;Khakassia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3276;tupi;pagelanca;tobacco;0;0;0;0;0;0;2;0;0;0;Yavari;Loreto;dense_jungle;patched_state;Loreto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3277;roman;catholic;cloth;0;0;0;0;0;0;0;0;0;0;Galapagos Islands;Galapagos_Islands;;patched_state;Galapagos_Islands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3278;yavapai;waashat;cloth;0;0;0;0;0;0;0;0;0;0;Las Vegas;Nevada;desert;patched_state;Nevada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3279;melanesian;mana;cloth;0;0;0;0;0;0;3;0;0;0;Ambon;Maluku;dense_jungle;patched_state;Maluku;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3280;aymara;catholic;grain;0;0;2;0;0;0;0;0;0;0;Inquivisi;La Paz;low_mountain;patched_state;La Paz;;lower_strata;aymara;inti;1;lower_strata;peruvian;catholic;1;;;;;;;;;;;;;;;;;;;;
3281;russian;orthodox;grain;0;0;1;0;0;0;0;0;7;0;Yastrebino;Sankt-Petersburg;forest;patched_state;Sankt-Petersburg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3282;somali;sunni;livestock;0;0;2;0;0;7;7;0;0;0;Belet Uen;Somalia;;patched_state;Somalia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3283;russian;orthodox;grain;0;0;5;2;0;0;0;0;7;0;Cherepovets;Novgorod;forest;patched_state;Novgorod;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3284;tupi;pagelanca;peat;0;0;0;0;0;0;1;0;0;0;Japurá;Amazonas;dense_jungle;patched_state;Amazonas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3285;south_german;catholic;grain;0;0;11;6;5;0;0;1;20;0;Freising;Oberbayern;;patched_state;Oberbayern;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3286;russian;orthodox;cloth;0;0;11;1;1;0;0;0;7;0;Elets;Oriol;farmland;patched_state;Oriol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3287;russian;orthodox;grain;0;2;3;0;0;0;0;0;7;0;Vyskatka;Sankt-Petersburg;forest;patched_state;Sankt-Petersburg;;lower_strata;estonian;lutheran;2;;;;;;;;;;;;;;;;;;;;;;;;
3288;south_german;catholic;cloth;0;0;20;12;8;0;0;1;20;0;Tübingen;Wurttemberg;;patched_state;Wurttemberg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3289;russian;orthodox;cloth;0;0;8;0;0;0;0;0;7;0;Zmiyovka;Oriol;plains;patched_state;Oriol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3290;castilian;catholic;mediterranean_fruit;0;0;9;1;2;0;0;0;10;0;Montalbo;La Mancha;;patched_state;La Mancha;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3291;russian;orthodox;grain;0;0;3;0;0;0;0;0;7;0;Dmitrievo;Novgorod;forest;patched_state;Novgorod;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3292;circassian;sunni;cloth;0;0;2;0;0;0;2;0;0;0;Mezmai;Kuban;low_mountain;patched_state;Kuban;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3293;japanese;shinto;copper;0;0;85;4;0;0;0;4;10;0;Iwaki;Tohoku;;patched_state;Tohoku;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3294;north_german;lutheran;cloth;0;0;7;5;5;0;0;0;20;0;Zittau;Sachsen;;patched_state;Sachsen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3295;belarusian;orthodox;cloth;0;3;1;0;0;0;0;0;10;0;Botalovo;Smolensk;forest;patched_state;Smolensk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3296;yankee;reformed;fish;0;0;5;3;0;0;0;0;10;0;Plymouth;Massachusetts;plains;patched_state;Massachusetts;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3297;south_german;catholic;textile_fibres;0;0;12;7;9;0;0;4;20;1;Augsburg;Schwaben;;patched_state;Schwaben;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3298;sotho;bantu;elephants;0;0;0;0;0;0;0;0;0;0;Aliwal;Bechuanaland;semi_arid;patched_state;Bechuanaland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3299;korean;mahayana;grain;0;0;59;4;0;0;0;0;0;0;Donghae;Namhan;low_mountain;patched_state;Namhan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3300;sibir;sunni;cloth;0;0;3;0;0;0;0;0;0;0;Ekibastauz;Semipalatinsk;semi_arid;patched_state;Semipalatinsk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3301;south_german;catholic;grain;0;0;11;6;14;0;0;2;20;1;Strasbourg;Alsace;;patched_state;Alsace;;proletariat;ashkenazi;jewish;4;lower_strata;french;catholic;2;middle_strata;french;catholic;1;proletariat;french;catholic;1;lower_strata;north_german;lutheran;5;;;;;;;;
3302;min;confucianism;grain;0;0;13;0;0;0;0;0;0;0;Anxi;Fujian;low_mountain;patched_state;Fujian;;tribesmen;min;chinese_shamanism;10;;;;;;;;;;;;;;;;;;;;;;;;
3303;castilian;catholic;mediterranean_fruit;0;0;9;1;1;0;0;0;10;0;Tarancon;La Mancha;;patched_state;La Mancha;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3304;choctaw;catholic;livestock;0;0;0;0;0;0;0;0;0;0;Jackson;Mississippi;forest;patched_state;Mississippi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3305;circassian;sunni;cloth;0;0;2;1;0;0;3;0;0;0;Tuapse;Chernomor;forest;patched_state;Chernomor;;lower_strata;abgazi;orthodox;2;;;;;;;;;;;;;;;;;;;;;;;;
3306;malayan;theravada;cloth;0;0;2;0;0;10;0;0;0;0;Nakhon Si Thammarat;Kra;dense_jungle;patched_state;Kra;;lower_strata;shangjiang;daoism;1;;;;;;;;;;;;;;;;;;;;;;;;
3307;japanese;shinto;wood;0;0;40;2;0;0;0;2;10;0;Koriyama;Kanto;forest;patched_state;Kanto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3308;north_german;lutheran;cloth;0;0;12;14;12;0;0;8;20;1;Dresden;Sachsen;;patched_state;Sachsen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3309;jin;mahayana;livestock;0;0;7;0;0;0;0;0;10;0;Ulanqab;Nei_Mongol;semi_arid;patched_state;Nei_Mongol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3310;thai;theravada;cloth;0;0;3;1;0;1;0;0;5;0;Surat Thani;Kra;dense_jungle;patched_state;Kra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3311;tajik;sunni;cloth;0;0;10;0;0;0;5;0;0;0;Nuristan;Kunduz;low_mountain;patched_state;Kunduz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3312;korean;mahayana;grain;0;0;43;0;0;0;0;0;0;0;Chuncheon;Namhan;low_mountain;patched_state;Namhan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3313;minor_aboriginal;mythic;livestock;0;0;0;0;0;0;0;0;0;0;PROV3313;Western_Australia;desert;patched_state;Western_Australia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3314;hassaniyya;sunni;fish;0;0;2;0;0;4;14;0;0;0;Mederdra;Mauritania;;patched_state;Mauritania;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3315;thai;linh;cloth;0;0;50;1;0;0;0;1;5;0;Pu'er;Dali;low_mountain;patched_state;Dali;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3316;baoule;akan;cloth;0;0;2;0;0;3;18;0;0;0;Korhogo;Ivory Coast;;patched_state;Ivory Coast;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3317;min;confucianism;grain;0;0;9;0;0;0;8;0;0;0;Wuyishan;Fujian;hills;patched_state;Fujian;;tribesmen;min;chinese_shamanism;8;;;;;;;;;;;;;;;;;;;;;;;;
3318;cree;inuit;wood;0;0;0;0;0;0;1;0;0;0;Wabush;Labrador;boreal_forest;patched_state;Labrador;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3319;caddo;waashat;wood;0;0;0;0;0;0;0;0;0;0;Monroe;Louisiana;forest;patched_state;Louisiana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3320;korean;mahayana;grain;0;0;10;0;0;0;0;0;0;0;Najin;Bukhan;low_mountain;patched_state;Bukhan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3321;nunavik;inuit;wood;0;0;0;0;0;0;1;0;0;0;Kaniapiskau;Quebec;boreal_forest;patched_state;Quebec;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3322;jin;mahayana;camel;0;0;6;0;0;0;0;0;10;0;Hohhot;Hohhot;hills;patched_state;Hohhot;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3323;kiunguja;bantu;cloth;0;0;5;0;0;8;8;0;0;0;PROV3323;Tanzania;plains;patched_state;Tanzania;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3324;tajik;sunni;cloth;0;0;7;0;0;0;0;0;0;0;Barchidev;Tajikistan;extreme_mountain;patched_state;Tajikistan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3325;sotho;bantu;livestock;0;0;0;0;0;0;3;0;0;0;Messina;South_Africa;desert;patched_state;South_Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3326;hindi;hindu;opium;0;0;360;30;19;0;107;0;9;0;Mirzapur;Agra;farmland;patched_state;Agra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3327;kpelle;sunni;cloth;0;0;2;0;0;3;16;0;0;0;Nzérékoré;Guinea;plains;patched_state;Guinea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
