PROVID;CULTURE;Religion;TRADEGOOD;unused;unused2;lower_strata;middle_strata;proletariat;slaves;tribesmen;upper_strata;INDUSTRIALISATION;PROVINCE RANK;NAME;AREA;TERRAIN;;;Subcultures / religons;Extra pop type;Extra pop culture;Extra pop religion;Extra pop size;Extra pop type;Extra pop culture;Extra pop religion;Extra pop size;Extra pop type;Extra pop culture;Extra pop religion;Extra pop size;Extra pop type;Extra pop culture;Extra pop religion;Extra pop size;Extra pop type;Extra pop culture;Extra pop religion;Extra pop size;Extra pop type;Extra pop culture;Extra pop religion;Extra pop size;Extra pop type;Extra pop culture;Extra pop religion;Extra pop size
3652;assiniboine;waashat;cloth;0;0;0;0;0;0;0;0;40;0;PROV3652;North_Dakota;;patched_state;North_Dakota;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3653;cajun;catholic;cloth;0;0;8;0;0;0;0;0;40;0;Alexandria;Louisiana;forest;patched_state;Louisiana;;lower_strata;turkish;sunni;4;;;;;;;;;;;;;;;;;;;;;;;;
3654;gujarati;jainism;cloth;0;0;8;0;0;0;2;0;40;0;PROV3654;state_15;;patched_state;state_15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3655;assiniboine;waashat;cloth;0;0;0;0;0;0;0;0;40;0;PROV3655;North_Dakota;;patched_state;North_Dakota;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3656;roman;mythic;cloth;0;0;0;0;0;0;0;0;40;0;PROV3656;Western_Australia;;patched_state;Western_Australia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3657;jin;confucianism;cloth;0;0;24;1;1;0;0;1;39;0;PROV3657;Shanxi;;patched_state;Shanxi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3658;kongo;bantu;cloth;0;0;2;0;0;0;8;0;40;0;Luanda;Angola;;patched_state;Angola;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3659;uighur;sunni;cloth;0;0;7;0;0;0;0;0;39;0;PROV3659;Böhmen71;;patched_state;Böhmen71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3660;rankulche;tain_feyentun;livestock;0;0;0;0;0;0;2;0;40;0;Monte Hermoso;Buenos Aires;;patched_state;Buenos Aires;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3661;bedouin;wahhabi;cloth;0;0;0;0;0;0;20;0;39;0;PROV3661;Hedjaz;;patched_state;Hedjaz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3662;norwegian;lutheran;fish;0;0;0;0;0;0;0;0;40;0;PROV3662;Vestlandet;;patched_state;Vestlandet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3663;bedouin;wahhabi;camel;0;0;2;0;0;0;2;0;39;0;Dubai;Nejd;;patched_state;Nejd;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3664;brazilian;catholic;vegetables;0;0;2;0;0;0;0;0;40;0;Montes Claros;Minas Gerais;;patched_state;Minas Gerais;;tribesmen;tupi;catimbo;1;;;;;;;;;;;;;;;;;;;;;;;;
3665;south_german;catholic;coal;0;0;7;12;11;1;0;3;39;0;Kaiserslautern;Pfalz;;patched_state;Pfalz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3666;norwegian;reformed;fish;0;0;0;0;0;0;0;0;40;0;PROV3666;Vestlandet;;patched_state;Vestlandet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3667;finnish;lutheran;wood;0;0;3;0;0;0;0;0;40;0;Vimpeli;Pohjanmaa;;patched_state;Pohjanmaa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3668;ukrainian;orthodox;cloth;0;0;4;2;0;0;0;0;39;0;Chernigov;Chernigov;;patched_state;Chernigov;;middle_strata;ashkenazi;jewish;2;;;;;;;;;;;;;;;;;;;;;;;;
3669;russian;orthodox;cloth;0;0;4;1;0;0;0;0;39;0;Vyshniy Volochok;Tver;;patched_state;Tver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3670;russian;orthodox;grain;0;0;4;1;0;0;0;0;39;0;Valday;Novgorod;;patched_state;Novgorod;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3671;occitan;catholic;cloth;0;0;16;3;5;0;0;1;39;0;Sarlat-la-Canéda;Aquitaine;;patched_state;Aquitaine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3672;french;catholic;cloth;0;0;17;6;17;0;0;2;39;0;Nancy;Lorraine;;patched_state;Lorraine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3673;french;catholic;cloth;0;0;29;2;0;0;0;1;39;0;Beauvais;Picardie;;patched_state;Picardie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3674;danish;lutheran;cloth;0;0;9;1;0;0;0;0;39;0;Roskilde;Danmark;;patched_state;Danmark;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3675;turkish;sunni;cloth;0;0;10;1;0;0;0;0;39;0;Taşköprü;Kastamonu;;patched_state;Kastamonu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3676;swedish;lutheran;wood;0;0;3;0;0;0;0;0;40;0;Jakobstad;Pohjanmaa;;patched_state;Pohjanmaa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3677;crimean;orthodox;horses;0;0;0;0;0;0;0;0;39;0;PROV3677;Kuban;;patched_state;Kuban;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3678;kazakh;sunni;cloth;0;0;0;0;0;0;0;0;40;0;PROV3678;Syr-Darya;desert;patched_state;Syr-Darya;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3679;serb;orthodox;cloth;0;0;10;1;2;0;0;0;39;0;Knjaževac;Srbija;;patched_state;Srbija;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3680;yue;confucianism;cloth;0;0;30;2;0;0;4;3;39;0;Liangjiang;West Guangdong;;patched_state;West Guangdong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3681;north_german;catholic;cloth;0;0;0;0;0;0;0;0;39;0;Friedeberg;Brandenburg;;patched_state;Brandenburg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3682;occitan;catholic;cloth;0;0;16;2;5;0;0;1;39;0;Villeneuve-sur-Lot;Aquitaine;;patched_state;Aquitaine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3683;malayan;hindu;cloth;0;0;4;0;0;0;2;0;39;0;Kendawandan;West Borneo;;patched_state;West Borneo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3684;japanese;shinto;grain;0;0;298;40;10;0;0;15;40;1;Edo;Kanto;edo;patched_state;Kanto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3685;dari;sunni;cloth;0;0;0;0;0;0;0;0;40;0;PROV3685;South_Afghanistan;desert;patched_state;South_Afghanistan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3686;malayan;sunni;cloth;0;0;7;0;0;0;0;0;39;0;Pahang;Johore;;patched_state;Johore;;middle_strata;han;confucianism;1;lower_strata;han;theravada;2;;;;;;;;;;;;;;;;;;;;
3687;japanese;shinto;horses;0;0;50;5;0;0;0;5;40;0;Saku;Chubu;extreme_mountain;patched_state;Chubu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3688;yupik;inuit;fish;0;0;0;0;0;0;0;0;39;0;PROV3688;Alaska;tundra;patched_state;Alaska;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3689;latvian;lutheran;cloth;0;0;9;1;0;0;0;0;39;0;Wolmar;Livland;;patched_state;Livland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3690;serb;orthodox;cloth;0;0;19;6;12;0;0;3;39;0;Niš;Srbija;;patched_state;Srbija;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3691;ojibwe-potawatomi;gaihwiio;cloth;0;0;0;0;0;0;0;0;40;0;PROV3691;Michigan;forest;patched_state;Michigan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3692;yue;confucianism;cloth;0;0;47;2;0;5;0;1;39;0;Lingshan;South Guangxi;;patched_state;South Guangxi;;tribesmen;miao;linh;6;;;;;;;;;;;;;;;;;;;;;;;;
3693;ojibwe-potawatomi;waashat;cloth;0;0;0;0;0;0;0;0;40;0;PROV3693;Michigan;forest;patched_state;Michigan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3694;japanese;mahayana;grain;0;0;3;0;0;0;0;0;40;0;Hakodate;Ezo;plains;patched_state;Ezo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3695;gan;confucianism;cloth;0;0;250;15;9;0;0;8;39;0;Juijiang;Jiangxi;;patched_state;Jiangxi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3696;malayan;sunni;cloth;0;0;0;0;0;0;0;0;39;0;PROV3696;Sumatra;;patched_state;Sumatra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3697;shawnee;waashat;cloth;0;0;0;0;0;0;0;0;40;0;Clarksville;Tennessee;;patched_state;Tennessee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3698;han;confucianism;cloth;0;0;58;2;2;0;0;3;39;0;PROV3698;Hubei;;patched_state;Hubei;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3699;platense;catholic;sugar;0;0;5;0;0;0;0;0;40;0;Misiones;Mesopotamia;;patched_state;Mesopotamia;;slaves;guarani;catholic;4;;;;;;;;;;;;;;;;;;;;;;;;
3700;persian;shiite;cloth;0;0;2;0;0;0;4;0;40;0;PROV3700;Kerman;desert;patched_state;Kerman;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3701;malayan;sunni;cloth;0;0;3;1;0;0;0;0;39;0;Selangor;Johore;;patched_state;Johore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3702;norteno;catholic;cloth;0;0;4;0;0;0;0;0;40;0;Juárez;Chihuahua;semi_arid;patched_state;Chihuahua;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3703;koyukon;inuit;wood;0;0;0;0;0;0;1;0;40;0;Whitehorse;Yukon;tundra;patched_state;Yukon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3704;shawnee;waashat;cloth;0;0;0;0;0;0;0;0;40;0;PROV3704;Kentucky;;patched_state;Kentucky;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3705;zambo;evangelical;cloth;0;0;1;0;0;0;1;0;40;0;Bilwi;Nicaragua;marsh;patched_state;Nicaragua;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3706;ojibwe-potawatomi;waashat;cloth;0;0;0;0;0;0;0;0;40;0;PROV3706;Wisconsin;forest;patched_state;Wisconsin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3707;central_american;catholic;cloth;0;0;7;1;0;0;1;0;40;0;Tegucigalpa;Honduras;hills;patched_state;Honduras;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3708;cayuse;waashat;wood;0;0;0;0;0;0;0;0;40;0;PROV3708;Washington;;patched_state;Washington;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3709;paraguayan;catholic;grain;0;0;1;0;0;0;0;0;40;0;Santo Tomé;Mesopotamia;;patched_state;Mesopotamia;;tribesmen;guarani;catholic;2;;;;;;;;;;;;;;;;;;;;;;;;
3710;chiricahua;catholic;cloth;0;0;0;0;0;0;0;0;40;0;Bachicuy;Sonora;hills;patched_state;Sonora;agua prieta founded in 1899;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3711;north_german;lutheran;cloth;0;0;0;0;0;0;0;0;40;0;Emden;Niedersachsen;;patched_state;Niedersachsen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3712;russian;orthodox;grain;0;0;0;0;0;0;0;0;39;0;PROV3712;Vologda;boreal_forest;patched_state;Vologda;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3713;russian;orthodox;cloth;0;0;0;0;0;0;0;0;39;0;PROV3713;Vologda;boreal_forest;patched_state;Vologda;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3714;occitan;catholic;cloth;0;0;20;3;6;0;0;2;39;0;Castelsarrasin;Gascogne;;patched_state;Gascogne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3715;norwegian;lutheran;fish;0;0;3;0;0;0;0;0;40;0;PROV3715;Vestlandet;;patched_state;Vestlandet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3716;estonian;lutheran;cloth;0;0;2;0;0;0;0;0;39;0;Wenderskulle;Livland;;patched_state;Livland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3717;circassian;sunni;cloth;0;0;0;0;0;0;0;0;40;0;PROV3717;Stavropol;;patched_state;Stavropol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3718;ukrainian;orthodox;cloth;0;0;0;0;0;0;0;0;39;0;PROV3718;Kursk;;patched_state;Kursk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3719;russian;orthodox;cloth;0;0;1;0;0;0;0;0;39;0;PROV3719;Vyatka;;patched_state;Vyatka;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3720;karen;theravada;cloth;0;0;9;0;0;0;6;0;39;0;Toungoo;Tenasserim;;patched_state;Tenasserim;;lower_strata;burmese;theravada;8;upper_strata;burmese;theravada;1;lower_strata;karen;linh;3;;;;;;;;;;;;;;;;
3721;crimean;sunni;fish;0;0;2;0;0;0;0;0;39;0;Primorsk;Taurida;farmland;patched_state;Taurida;;tribesmen;krymchak;jewish;1;;;;;;;;;;;;;;;;;;;;;;;;
3722;ukrainian;orthodox;cloth;0;0;0;0;0;0;0;0;39;0;PROV3722;Aden;;patched_state;Aden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3723;kurdish;sunni;cloth;0;0;0;0;0;0;0;0;39;0;Gaziantep;Adana;;patched_state;Adana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3724;norwegian;lutheran;fish;0;0;0;0;0;0;0;0;40;0;PROV3724;Vestlandet;;patched_state;Vestlandet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3725;occitan;catholic;cloth;0;0;12;1;0;0;0;0;39;0;Lodève;Languedoc-Roussillon;;patched_state;Languedoc-Roussillon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3726;han;confucianism;cloth;0;0;58;2;2;0;0;3;39;0;Xianyang;Shaanxi;;patched_state;Shaanxi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3727;russian;orthodox;cloth;0;0;0;0;0;0;0;0;39;0;PROV3727;Ryazan;;patched_state;Ryazan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3728;circassian;sunni;cloth;0;0;0;0;0;0;0;0;40;0;PROV3728;Stavropol;;patched_state;Stavropol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3729;dolgan;sunni;wood;0;0;0;0;0;0;0;0;39;0;PROV3729;Krasnoyarsk;boreal_forest;patched_state;Krasnoyarsk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3730;greek;orthodox;fish;0;0;7;1;1;0;0;1;39;0;Chania;Kriti;;patched_state;Kriti;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3731;turkish;sunni;cloth;0;0;13;1;0;0;0;1;39;0;Bartin;Kastamonu;;patched_state;Kastamonu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3732;illinois;waashat;cloth;0;0;0;0;0;0;0;0;40;0;Davenport;Iowa;;patched_state;Iowa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3733;burmese;theravada;cloth;0;0;64;0;0;0;10;0;39;0;Prome;Pegu;;patched_state;Pegu;;lower_strata;burmese;thagyaminist;1;;;;;;;;;;;;;;;;;;;;;;;;
3734;crimean;sunni;fish;0;0;5;0;0;0;0;0;39;0;Chaplinka;Taurida;farmland;patched_state;Taurida;;tribesmen;krymchak;jewish;1;;;;;;;;;;;;;;;;;;;;;;;;
3735;marathi;hindu;grain;0;0;180;0;11;0;61;0;40;0;PROV3735;state_768;;patched_state;state_768;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3736;turkish;sunni;cloth;0;0;0;0;0;0;0;0;39;0;PROV3736;Adana;;patched_state;Adana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3737;miao;linh;cloth;0;0;0;0;0;0;0;0;39;0;Luang Prabang;Laos;;patched_state;Laos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3738;galician;catholic;cloth;0;0;7;1;1;0;0;0;39;0;Cangas del Narcea;León;;patched_state;León;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3739;javanese;sunni;cloth;0;0;0;0;0;0;0;0;40;0;PROV3739;Java;;patched_state;Java;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3740;han;confucianism;cloth;0;0;113;4;0;0;0;5;39;0;Gusangxiang;Jiangsu;;patched_state;Jiangsu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3741;roman;mythic;wool;0;0;0;0;0;0;0;0;40;0;PROV3741;Western_Australia;semi_arid;patched_state;Western_Australia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3742;bihari;hindu;cloth;0;0;53;5;5;0;30;0;40;0;PROV3742;Bihar;;patched_state;Bihar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3743;sundanese;sunni;cloth;0;0;0;0;0;0;0;0;40;0;PROV3743;Java;;patched_state;Java;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3744;persian;shiite;cloth;0;0;0;0;0;0;3;0;40;0;PROV3744;Irak_Ajami;;patched_state;Irak_Ajami;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3745;dolgan;sunni;cloth;0;0;0;0;0;0;0;0;39;0;PROV3745;Tomsk;boreal_forest;patched_state;Tomsk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3746;tunisian;sunni;cloth;0;0;0;0;0;0;5;0;39;0;PROV3746;Gabes;;patched_state;Gabes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3747;ahtna;waashat;wood;0;0;0;0;0;0;1;0;40;0;Fort Kamloops;Columbia;;patched_state;Columbia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3748;creek;waashat;cloth;0;0;0;0;0;0;0;0;40;0;PROV3748;Ilinois;;patched_state;Ilinois;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3749;colombian;catholic;sulphur;0;0;2;0;0;0;0;0;40;0;San Juan de Payara;Venezuela;sparse_jungle;patched_state;Venezuela;;tribesmen;tupi;catimbo;2;;;;;;;;;;;;;;;;;;;;;;;;
3750;yue;confucianism;cloth;0;0;30;2;0;0;0;3;39;0;Xuwen;Hainan;;patched_state;Hainan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3751;mongolian;mahayana;horses;0;0;0;0;0;0;1;0;39;0;Mörön;Mongolia;semi_arid;patched_state;Mongolia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3752;shan;linh;cloth;0;0;0;0;0;0;0;0;40;0;PROV3752;state_585;;patched_state;state_585;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3753;tuareg;sunni;camel;0;0;0;0;0;0;0;0;40;0;PROV3753;Algerian_Sahara;;patched_state;Algerian_Sahara;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3754;mongolian;mahayana;horses;0;0;0;0;0;0;1;0;39;0;PROV3754;Mongolia;semi_arid;patched_state;Mongolia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3755;roman;mythic;wool;0;0;0;0;0;0;0;0;40;0;PROV3755;Western_Australia;plains;patched_state;Western_Australia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3756;bihari;hindu;cloth;0;0;53;5;2;0;10;0;40;0;PROV3756;Bihar;;patched_state;Bihar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3757;chilean;catholic;mediterranean_fruit;0;0;30;2;0;0;0;0;40;0;Colchagua;Chile del Sur;;patched_state;Chile del Sur;;tribesmen;mapuche;tain_feyentun;3;;;;;;;;;;;;;;;;;;;;;;;;
3758;persian;shiite;cloth;0;0;0;0;0;0;3;0;40;0;PROV3758;Irak_Ajami;;patched_state;Irak_Ajami;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3759;dolgan;tengri;wood;0;0;0;0;0;0;0;0;40;0;PROV3759;Krasnoyarsk;boreal_forest;patched_state;Krasnoyarsk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3760;colombian;catholic;gold;0;0;8;1;0;0;0;1;40;0;Táchira;Venezuela;low_mountain;patched_state;Venezuela;;tribesmen;guahibo;muisca;3;lower_strata;zambo;catholic;4;;;;;;;;;;;;;;;;;;;;
3761;finnish;orthodox;cloth;0;0;3;2;0;0;0;0;39;0;Käkisalmi;Karjalankannas;forest;patched_state;Karjalankannas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3762;tuareg;sunni;cloth;0;0;1;0;0;0;0;0;40;0;Kidal;Mali;;patched_state;Mali;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3763;ojibwe-potawatomi;waashat;cloth;0;0;0;0;0;0;0;0;40;0;PROV3763;Michigan;forest;patched_state;Michigan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3764;norwegian;lutheran;wood;0;0;3;0;0;0;0;0;40;0;Harstad;Nord-Noreg;;patched_state;Nord-Noreg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3765;north_german;lutheran;cloth;0;0;0;0;0;0;0;0;39;0;Köslin;Pommern;;patched_state;Pommern;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3766;finnish;lutheran;grain;0;0;3;0;0;0;0;0;40;0;Valkeala;Etelä-Suomi;;patched_state;Etelä-Suomi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3767;russian;orthodox;wood;0;0;0;0;0;0;0;0;39;0;Welsk;Olonets;boreal_forest;patched_state;Olonets;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3768;french;catholic;cloth;0;0;32;12;33;0;0;4;39;0;Cambrai;Nord-Pas-de-Calais;;patched_state;Nord-Pas-de-Calais;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3769;russian;orthodox;cloth;0;0;0;0;0;0;0;0;39;0;PROV3769;Vladimir;;patched_state;Vladimir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3770;colombian;catholic;sugar;0;0;2;0;0;0;0;0;40;0;Curaçao;Lesser_Antilles;;patched_state;Lesser_Antilles;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3771;han;confucianism;cloth;0;0;58;2;2;0;0;3;39;0;PROV3771;West Zhili;;patched_state;West Zhili;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3772;ukrainian;orthodox;cloth;0;0;1;0;0;0;0;0;39;0;PROV3772;Saratov;;patched_state;Saratov;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3773;russian;orthodox;cloth;0;0;0;0;0;0;0;0;39;0;PROV3773;Vladimir;;patched_state;Vladimir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3774;castilian;catholic;cloth;0;0;6;1;2;0;0;0;39;0;Rioseco;Castille;;patched_state;Castille;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3775;danish;lutheran;grain;0;0;9;1;0;0;0;0;39;0;Bornholm;Danmark;;patched_state;Danmark;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3776;manchu;mahayana;cloth;0;0;58;2;2;0;0;3;39;0;PROV3776;Antung;;patched_state;Antung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3777;russian;orthodox;grain;0;0;1;0;0;0;0;0;39;0;Pyahta;Novgorod;;patched_state;Novgorod;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3778;crimean;orthodox;horses;0;0;0;0;0;0;0;0;39;0;Armawir;Kuban;;patched_state;Kuban;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3779;english;anglican;cloth;0;0;26;12;7;0;0;2;50;0;Exeter;South_West;;patched_state;South_West;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3780;shawnee;waashat;cloth;0;0;0;0;0;0;0;0;40;0;PROV3780;Indiana;;patched_state;Indiana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3781;crimean;orthodox;horses;0;0;0;0;0;0;0;0;39;0;PROV3781;Kuban;;patched_state;Kuban;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3782;burmese;theravada;cloth;0;0;12;1;0;0;0;1;39;0;Rangoon;Pegu;;patched_state;Pegu;;lower_strata;burmese;hindu;4;lower_strata;burmese;sunni;3;slaves;burmese;theravada;3;;;;;;;;;;;;;;;;
3783;han;confucianism;cloth;0;0;58;2;2;0;0;3;39;0;Tianjin;Beijing;;patched_state;Beijing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3784;ukrainian;orthodox;cloth;0;0;0;0;0;0;0;0;39;0;PROV3784;Voronezh;;patched_state;Voronezh;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3785;dixie;evangelical;cloth;0;0;2;2;0;0;0;0;40;0;Ahoskie;North Carolina;plains;patched_state;North Carolina;;slaves;afroamerican;evangelical;4;;;;;;;;;;;;;;;;;;;;;;;;
3786;asturian;catholic;cloth;0;0;9;1;1;0;0;0;39;0;Riano;León;;patched_state;León;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3787;south_german;lutheran;cloth;0;0;15;2;0;0;0;0;39;0;Krumau;Sudeten;;patched_state;Sudeten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3788;russian;orthodox;cloth;0;0;0;0;0;0;0;0;39;0;PROV3788;Perm;boreal_forest;patched_state;Perm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3789;french;catholic;cloth;0;0;8;1;0;0;0;0;39;0;Bar-sur-Aube;Champagne-Ardenne;;patched_state;Champagne-Ardenne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3790;wu;confucianism;cloth;0;0;1555;52;52;0;0;69;39;0;PROV3790;Anhui;;patched_state;Anhui;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3791;manchu;mahayana;cloth;0;0;58;2;2;0;0;3;39;0;PROV3791;Böhmen20;;patched_state;Böhmen20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3792;norteno;catholic;cloth;0;0;4;0;0;0;0;0;40;0;Monterrey;Coahuila;hills;patched_state;Coahuila;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3793;sundanese;sunni;cloth;0;0;0;0;0;0;0;0;40;0;Waingapu;Nusa_Tenggara;;patched_state;Nusa_Tenggara;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3794;han;confucianism;cloth;0;0;58;2;2;0;0;3;39;0;PROV3794;Anhui;;patched_state;Anhui;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3795;cree;waashat;cloth;0;0;0;0;0;0;1;0;40;0;Cumberland House;Saskatchewan;boreal_forest;patched_state;Saskatchewan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3796;quopaw;waashat;cloth;0;0;0;0;0;0;0;0;40;0;PROV3796;Ilinois;;patched_state;Ilinois;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3797;turkish;sunni;cloth;0;0;2;0;0;0;0;0;39;0;Kargi;Cankiri;;patched_state;Cankiri;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3798;illinois;waashat;cloth;0;0;0;0;0;0;0;0;40;0;PROV3798;Ilinois;;patched_state;Ilinois;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3799;burmese;theravada;cloth;0;0;0;0;0;0;16;0;39;0;PROV3799;state_112;;patched_state;state_112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3800;ute;earth_lodge;cloth;0;0;0;0;0;0;0;0;40;0;PROV3800;Nevada;desert;patched_state;Nevada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
